ncbi_name	myco_name	has_ascomycota	has_basidiomycota	has_glomeromycotina	has_mucoromycotina
Poa_pratensis_subsp._pratensis	Poa_pratensis	0	0	1	0
Poa_pratensis_subsp._colpodea	Poa_pratensis	0	0	1	0
Podocarpus_oleifolius	Podocarpus_oleifolius	0	0	1	0
Podococcus_barteri	Podococcus_barteri	0	0	1	0
Polygala_amara	Polygala_amara	0	0	1	0
Polygala_calcarea	Polygala_calcarea	0	0	1	0
Polygala_comosa	Polygala_comosa	0	0	1	0
Polygala_myrtifolia	Polygala_myrtifolia	0	0	1	0
Polygala_rupestris	Polygala_rupestris	0	0	1	0
Polygala_serpyllifolia	Polygala_serpyllifolia	0	0	1	0
Polygala_vulgaris	Polygala_vulgaris	0	0	1	0
Polygonum_cuspidatum_var._uzenensis	Polygonum_cuspidatum	0	0	1	0
Polygonum_cuspidatum_var._terminalis	Polygonum_cuspidatum	0	0	1	0
Populus_alba	Populus_alba	1	1	1	0
Populus_balsamifera	Populus_balsamifera	0	1	0	0
Populus_davidiana	Populus_davidiana	0	1	0	0
Populus_deltoides	Populus_deltoides	1	1	1	0
Populus_euphratica	Populus_euphratica	0	0	1	0
Populus_nigra	Populus_nigra	1	1	1	0
Populus_simonii	Populus_simonii	1	1	0	0
Populus_tremula	Populus_tremula	1	1	1	0
Populus_trichocarpa	Populus_trichocarpa	0	1	1	0
Potentilla_erecta	Potentilla_erecta	0	0	1	0
Prumnopitys_ferruginea	Prumnopitys_ferruginea	0	0	1	0
Prumnopitys_montana	Prumnopitys_montana	0	0	1	0
Prumnopitys_taxifolia	Prumnopitys_taxifolia	0	0	1	0
Prunella_vulgaris	Prunella_vulgaris	0	0	1	0
Prunus_africana	Prunus_africana	0	0	1	0
Prunus_persica	Prunus_persica	0	0	1	0
Pseudorchis_albida_subsp._straminea	Pseudorchis_albida	1	1	0	0
Pseudotsuga_menziesii	Pseudotsuga_menziesii	1	1	0	0
Pterostylis_nutans	Pterostylis_nutans	0	1	0	0
Pterygodium_catholicum	Pterygodium_catholicum	0	1	0	0
Puccinellia_distans	Puccinellia_distans	0	0	1	0
Puccinellia_maritima	Puccinellia_maritima	0	0	1	0
Pulmonaria_obscura	Pulmonaria_obscura	0	0	1	0
Purdiaea_nutans	Purdiaea_nutans	0	0	1	0
Pyrola_minor	Pyrola_minor	0	1	0	0
Pyrola_rotundifolia	Pyrola_rotundifolia	1	1	0	0
Pyrorchis_nigricans	Pyrorchis_nigricans	0	1	0	0
Pyrus_pyrifolia	Pyrus_pyrifolia	0	0	1	0
Quercus_agrifolia	Quercus_agrifolia	0	1	1	0
Quercus_alba	Quercus_alba	1	1	0	0
Quercus_cerris	Quercus_cerris	1	1	0	0
Quercus_douglasii	Quercus_douglasii	1	1	1	0
Quercus_fabri	Quercus_fabri	1	1	0	0
Quercus_ilex_subsp._ilex	Quercus_ilex	1	1	0	0
Quercus_incana	Quercus_incana	1	1	0	0
Quercus_petraea_subsp._petraea	Quercus_petraea	1	1	0	0
Quercus_phellos	Quercus_phellos	1	1	0	0
Quercus_pubescens_subsp._pubescens	Quercus_pubescens	1	1	0	0
Quercus_robur_subsp._robur	Quercus_robur	1	1	0	0
Quercus_rubra	Quercus_rubra	1	1	1	0
Quercus_salicina	Quercus_salicina	0	1	0	0
Quercus_suber	Quercus_suber	1	1	0	0
Quercus_variabilis	Quercus_variabilis	1	1	0	0
Quercus_wislizeni	Quercus_wislizeni	1	1	0	0
Ranunculus_montanus	Ranunculus_montanus	0	0	1	0
Ranunculus_repens	Ranunculus_repens	0	0	1	0
Retama_sphaerocarpa	Retama_sphaerocarpa	0	0	1	0
Rhizophora_apiculata	Rhizophora_apiculata	0	0	1	0
Rhododendron_decorum	Rhododendron_decorum	1	1	0	0
Rhododendron_ferrugineum	Rhododendron_ferrugineum	0	1	0	0
Rhododendron_fortunei	Rhododendron_fortunei	1	1	0	0
Rhododendron_groenlandicum	Rhododendron_groenlandicum	0	1	0	0
Rhododendron_racemosum	Rhododendron_racemosum	0	1	0	0
Rhododendron_tomentosum	Rhododendron_tomentosum	0	1	0	0
Rhomboda_cristata	Rhomboda_cristata	0	1	0	0
Robinia_pseudoacacia	Robinia_pseudoacacia	0	0	1	0
Rosa_multiflora	Rosa_multiflora	0	0	1	0
Rosmarinus_officinalis	Rosmarinus_officinalis	0	0	1	0
Rubus_parvifolius	Rubus_parvifolius	0	0	1	0
Rubus_saxatilis	Rubus_saxatilis	0	0	1	0
Ruta_chalepensis	Ruta_chalepensis	0	0	1	0
Salicornia_europaea	Salicornia_europaea	0	0	1	0
Salix_alba	Salix_alba	1	1	0	0
Salix_arctica	Salix_arctica	1	1	0	0
Salix_herbacea	Salix_herbacea	1	1	0	0
Salix_polaris	Salix_polaris	1	1	0	0
Salix_reinii	Salix_reinii	1	1	0	0
Salix_reticulata	Salix_reticulata	1	1	0	0
Salix_tetrasperma	Salix_tetrasperma	1	1	0	0
Salvadora_persica	Salvadora_persica	0	0	1	0
Santiria_trimera	Santiria_trimera	0	0	1	0
Saussurea_involucrata	Saussurea_involucrata	1	0	0	0
Saxifraga_oppositifolia	Saxifraga_oppositifolia	0	0	1	0
Schizocodon_soldanelloides	Schizocodon_soldanelloides	1	0	0	0
Senegalia_senegal	Senegalia_senegal	0	0	1	0
Sequoiadendron_giganteum	Sequoiadendron_giganteum	0	0	1	0
Serapias_cordigera	Serapias_cordigera	0	1	0	0
Sesleria_caerulea	Sesleria_caerulea	0	0	1	0
Setaria_pumila	Setaria_pumila	0	0	1	0
Shorea_guiso	Shorea_guiso	0	1	0	0
Shorea_obtusa	Shorea_obtusa	0	1	0	0
Solanum_tuberosum_subsp._andigenum	Solanum_tuberosum	0	0	1	0
Solidago_canadensis	Solidago_canadensis	0	0	1	0
Solidago_gigantea	Solidago_gigantea	0	0	1	0
Solidago_missouriensis	Solidago_missouriensis	0	0	1	0
Solidago_rugosa	Solidago_rugosa	0	0	1	0
Solidago_virgaurea	Solidago_virgaurea	0	0	1	0
Sonchus_tenerrimus	Sonchus_tenerrimus	0	0	1	0
Sonneratia_alba	Sonneratia_alba	0	0	1	0
Sorbus_aucuparia	Sorbus_aucuparia	0	0	1	0
Sorghum_bicolor	Sorghum_bicolor	0	0	1	0
Spiranthes_sinensis	Spiranthes_sinensis	0	1	0	0
Sisymbrium_amphibium	Subularia_aquatica	0	0	0	0
Swietenia_macrophylla	Swietenia_macrophylla	0	0	1	0
Tacca_plantaginea	Tacca_plantaginea	0	0	1	0
Tainia_latifolia	Tainia_latifolia	0	1	0	0
Tanacetum_vulgare	Tanacetum_vulgare	0	0	1	0
Taraxacum_officinale	Taraxacum_officinale	0	0	1	0
Taxus_baccata	Taxus_baccata	0	1	1	0
Tectona_grandis	Tectona_grandis	0	0	1	0
Tetragastris_panamensis	Tetragastris_panamensis	0	0	1	0
Thalictrum_minus	Thalictrum_minus	0	0	1	0
Thismia_rodwayi	Thismia_rodwayi	0	0	1	0
Thlaspi_arvense	Thlaspi_arvense	0	0	1	0
Thymus_praecox_subsp._polytrichus	Thymus_praecox	0	0	1	0
Thymus_pulegioides	Thymus_pulegioides	0	0	1	0
Tilia_americana	Tilia_americana	1	0	0	0
Tilia_cordata	Tilia_cordata	1	1	1	0
Tipularia_discolor	Tipularia_discolor	0	1	0	0
Torilis_arvensis	Torilis_arvensis	0	0	1	0
Torilis_japonica	Torilis_japonica	0	0	1	0
Toxicoscordion_venenosum	Toxicoscordion_venenosum	0	0	1	0
Trachycarpus_fortunei	Trachycarpus_fortunei	0	0	1	0
Trachystemon_orientalis	Trachystemon_orientalis	0	0	1	0
Tragopogon_pratensis	Tragopogon_pratensis	0	0	1	0
Tricoryne_elatior	Tricoryne_elatior	0	0	1	0
Trientalis_europaea	Trientalis_europaea	0	0	1	0
Trifolium_pratense	Trifolium_pratense	0	0	1	0
Trifolium_repens	Trifolium_repens	0	0	1	0
Trifolium_subterraneum	Trifolium_subterraneum	0	0	1	0
Trillium_grandiflorum	Trillium_grandiflorum	0	0	1	0
Triraphis_mollis	Triraphis_mollis	0	0	1	0
Trisetum_flavescens	Trisetum_flavescens	0	0	1	0
Trisyngyne_balansae	Trisyngyne_balansae	0	1	0	0
Trisyngyne_codonandra	Trisyngyne_codonandra	0	1	0	0
Triticum_aestivum	Triticum_aestivum	0	0	1	0
Trizeuxis_falcata	Trizeuxis_falcata	0	1	0	0
Tsuga_canadensis	Tsuga_canadensis	1	1	0	0
Tsuga_mertensiana	Tsuga_mertensiana	1	1	0	0
Typha_angustifolia	Typha_angustifolia	0	0	1	0
Typha_latifolia	Typha_latifolia	0	0	1	0
Ulmus_americana	Ulmus_americana	1	1	0	0
Vaccinium_myrtillus	Vaccinium_myrtillus	1	1	1	0
Vaccinium_oxycoccos	Vaccinium_oxycoccos	1	1	0	0
Vaccinium_poasanum	Vaccinium_poasanum	0	1	0	0
Vaccinium_uliginosum	Vaccinium_uliginosum	1	1	0	0
Vaccinium_vitis-idaea	Vaccinium_vitis_idaea	1	1	0	0
Vachellia_erioloba	Vachellia_erioloba	0	0	1	0
Veratrum_oxysepalum	Veratrum_oxysepalum	0	0	1	0
Verbena_officinalis	Verbena_officinalis	0	0	1	0
Veronica_chamaedrys	Veronica_chamaedrys	0	0	1	0
Vicia_faba	Vicia_faba	0	0	1	0
Vicia_hirsuta	Vicia_hirsuta	0	0	1	0
Vicia_sativa	Vicia_sativa	0	0	1	0
Vicia_tetrasperma	Vicia_tetrasperma	0	0	1	0
Vigna_unguiculata	Vigna_unguiculata	0	0	1	0
Vincetoxicum_rossicum	Vincetoxicum_rossicum	0	0	1	0
Vitis_vinifera	Vitis_vinifera	0	0	1	0
Woollsia_pungens	Woollsia_pungens	1	0	0	0
Wullschlaegelia_aphylla	Wullschlaegelia_aphylla	0	1	0	0
Zea_mays	Zea_mays	0	0	1	0
Zeuxine_agyokuana	Zeuxine_agyokuana	0	1	0	0
Zeuxine_strateumatica	Zeuxine_strateumatica	0	1	0	0
Zingiber_officinale	Zingiber_officinale	0	0	1	0
Zoysia_japonica	Zoysia_japonica	0	0	1	0
